,Institución,Código Único,Nombre del establecimiento,Clasificación,Tipo,Departamento,Provincia,Distrito,UBIGEO,Dirección,Código DISA,Código Red,Código Microrred,DISA,Red,Microrred,Código UE,Unidad Ejecutora,Categoria,Teléfono,Tipo Doc.Categorización,Nro.Doc.Categorización,Horario,Inicio de Actividad,Director Médico y/o Responsable de la Atención de Salud,Estado,Situación,Condición,Inspección,NORTE,ESTE,COTA,CAMAS,lon,lat
7660,ESSALUD,9042,HOSPITAL BASE VICTOR LAZARTE ECHEGARAY,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,LA LIBERTAD,TRUJILLO,TRUJILLO,130101,PROLONGACION UNION 1350,18,0,0,LA LIBERTAD,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,0, ,III-1,044-214155,RESOLUCIÓN,,24 HORAS,29/01/1951,LUIS FERNANDO EDWARDS CABALLERO ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-79.0120577,-8.0996179,56.5,264.0,-79.0120577,-8.0996179
7762,ESSALUD,10185,HOSPITAL III DANIEL ALCIDES CARRIÓN,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,TACNA,TACNA,CALANA,230103,CARRETERA CALANA KM 6.5 - CALANA,32,0,0,TACNA,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,0, ,II-2,052-428065,RESOLUCIÓN,,24 HORAS,12/08/1981,JORGE ELISEO LOPEZ CLAROS ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-70.20382167,-17.98154,736.2,118.0,-70.20382167,-17.98154
7819,ESSALUD,9319,HOSPITAL I VICTOR ALFREDO LAZO PERALTA,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,MADRE DE DIOS,TAMBOPATA,TAMBOPATA,170101,AV. ANDRES AVELINO CACERES Nº 560,25,0,0,MADRE DE DIOS,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,0, ,II-1,082-571071,RESOLUCIÓN,N° 513-2009-DRS-GR-MDD/DESP-USS,24 HORAS,26/04/1975,HENRY PAUCAR OLIVERA ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-69.19880167,-12.58139667,178.9,25.0,-69.19880167,-12.58139667
7897,GOBIERNO REGIONAL,3251,MANUEL NUÑEZ BUTRON,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,PUNO,PUNO,PUNO,210101,JIRON RICARDO PALMA Nº 120,29,0,0,PUNO,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,1435,HOSPITAL REGIONAL MANUEL NUÑEZ BUTRON,II-2,051-369696,RESOLUCIÓN,,24 HORAS,01/01/1965,LUIS ANTONIO MALDONADO NEYRA ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-70.02156667,-15.84185333,3809.2,215.0,-70.02156667,-15.84185333
7984,GOBIERNO REGIONAL,3943,LIRCAY,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,HUANCAVELICA,ANGARAES,LIRCAY,90301,AVENIDA ESMERALDA S/N BELLAVISTA - LIRCAY S/N AV. ESMERALDA S/N BELLAVISTA - LIRCAY LIRCAY ANGARAES HUANCAVELICA ,13,4,0,HUANCAVELICA,ANGARAES,NO PERTENECE A NINGUNA MICRORED,1647,RED DE SALUD ANGARAES,II-1,980088604,RESOLUCIÓN,,8:00AM - 19:00PM - E,05/08/2011,JORGE LUIS VILCAHUAMAN NINANYA ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-74.72371833,-12.99682167,3305.7,26.0,-74.72371833,-12.99682167
8080,GOBIERNO REGIONAL,3853,HOSPITAL REGIONAL ZACARIAS CORREA VALDIVIA,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,HUANCAVELICA,HUANCAVELICA,HUANCAVELICA,90101,AV. ANDRES AVELINO CACERES S/N YANANACO,13,0,0,HUANCAVELICA,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,1000,HOSPITAL DEPARTAMENTAL DE HUANCAVELICA,II-2,067-452990,RESOLUCIÓN,,24 HORAS,27/07/1964,JULIO CESAR ALVAREZ LEON ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-74.98103709,-12.7872348,3724.7,126.0,-74.98103709,-12.7872348
8174,ESSALUD,18580,GUILLERMO KAELIN  DE LA FUENTE,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,LIMA,LIMA,VILLA MARIA DEL TRIUNFO,150143,AVENIDA PP.JJ. NUEVA ESPERANZA MZ 1B SUBLOTE 1 PABELLON 1 CRUCE AV. 26 DE NOVIEMBRE C/ AV DEFENSORES DE LIMA PP.JJ. NUEVA ESPERANZA MZ 1B SUBLOTE 1 PABELLON 1 CRUCE AV. 26 DE NOVIEMBRE C/ AV DEFENSORES DE LIMA VILLA MARIA DEL TRIUNFO LIMA LIMA ,23,0,0,LIMA SUR,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,0, ,Sin Categoría,01-2074700 ,RESOLUCIÓN,,24 HORAS,11/04/2014,KATYA YOLANDA CHAVEZ ROMERO ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-76.9405994,-12.1782885,,199.0,-76.9405994,-12.1782885
8375,ESSALUD,9180,HOSPITAL I TINGO MARIA,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,HUANUCO,LEONCIO PRADO,RUPA-RUPA,100601,JR. BOLOGNESI 120 PPJJ TUPAC AMARU,14,0,0,HUANUCO,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,0, ,II-1,62562099,RESOLUCIÓN,,24 HORAS,22/02/1986,MONICA EDITH ZUÑIGA CONDOR ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-76.00207,-9.30463833,762.5,19.0,-76.00207,-9.30463833
8439,GOBIERNO REGIONAL,6359,BANDA SHILCAYO,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,SAN MARTIN,SAN MARTIN,LA BANDA DE SHILCAYO,220909,JIRÓN JR: PAJATEN N° 319 DISTRITO LA BANDA DE SHILCAYO PROVINCIA SAN MARTIN DEPARTAMENTO SAN MARTIN,30,1,12,SAN MARTIN,SAN MARTIN,BANDA DE SHILCAYO,930,SALUD SAN MARTIN,II-E,042-520961,RESOLUCIÓN,RD N° 718-2012-DG-DIRES/SM,24 HORAS,01/01/1900,LUIS ALBERTO FELIX DEL AGUILA ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-76.3488037,-6.49390789,363.0,6.0,-76.3488037,-6.49390789
8502,GOBIERNO REGIONAL,2305,ANTONIO LORENA DEL CUSCO,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,CUSCO,CUSCO,SANTIAGO,80106,URB. PRIMAVERA CUARTEL AGUSTIN GAMARRA CALLE CARLOS UGARTE S/N,11,0,0,CUSCO,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,1169,HOSPITAL ANTONIO LORENA,III-1,247119,RESOLUCIÓN,,CONSULTA EXTERNA 08:,21/10/1934,ERWIN WILLIAM CCOSI PAUCAR ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-71.97558395,-13.53083729,3420.0,198.0,-71.97558395,-13.53083729
8657,GOBIERNO REGIONAL,1910,HOSPITAL DE APOYO II-SULLANA,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,PIURA,SULLANA,SULLANA,200601,AV. SANTA ROSA S/N,28,0,0,PIURA,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,901,HOSPITAL DE APOYO III SULLANA,II-2,073-506728,RESOLUCIÓN,,24 HORAS,26/08/1963,MARIANO MANUEL YAÑEZ CESTI ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-80.69477581,-4.89642262,86.0,184.0,-80.69477581,-4.89642262
8885,GOBIERNO REGIONAL,7635,HOSPITAL DE BARRANCA,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,LIMA,BARRANCA,BARRANCA,150201,AV. NICOLAS DE PIEROLA 210 -224,22,1,10,LIMA,RED I BARRANCA - CAJATAMBO,YUNGAY,1289,HOSPITAL BARRANCA-CAJATAMBO Y SERVICIOS BASICOS DE SALUD,II-2,01-2352075 / 01-2352156 / 01-2352241,RESOLUCIÓN,RD 463 DG -DESI -DSS-DIRESA -L -2010,LUNES A DOMINGO LAS ,01/10/1939,ELVIS EDILBERTO JARA PANANA ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-77.76436841,-10.75433068,61.506,113.0,-77.76436841,-10.75433068
8909,ESSALUD,13295,HOSPITAL II MANUEL DE TORRES MUÑOZ MOLLENDO ESSALUD,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,AREQUIPA,ISLAY,MOLLENDO,40701,CALLE JUAN B. ARENAS S/N MOLLENDO,4,0,0,AREQUIPA,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,0, ,II-1,054-532081,RESOLUCIÓN,,24 HORAS,17/07/1967,ERICK JOEL YAFAC SERRANO ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-72.014985,-17.0194145,84.7,33.0,-72.014985,-17.0194145
9026,ESSALUD,11556,CENTRO DE ATENCION PRIMARIA II CABALLOCOCHA,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,LORETO,MARISCAL RAMON CASTILLA,RAMON CASTILLA,160401,CALLE RAMON CASTILLA N° 700,24,0,0,LORETO,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,0, ,I-3,065-291043,RESOLUCIÓN,,7:00 - 19:00,17/07/2008,RUSSMANN PALACIOS LARA ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-70.51701259,-3.90854887,101.0,,-70.51701259,-3.90854887
9084,ESSALUD,9215,HOSPITAL BASE III (PUNO) - RED ASISTENCIAL PUNO,HOSPITALES O CLINICAS DE ATENCION ESPECIALIZADA,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,PUNO,PUNO,PUNO,210101,JR. FRANCISCO CACERES JARA Nº 600 - DEL PARQUE INDUSTRIAL SALCEDO,29,0,0,PUNO,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,0, ,II-2,51352661,RESOLUCIÓN,,24 HORAS,24/08/1974,JOHN RAYMUNDO BENITES ZAPANA ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-69.99991,-15.87305667,3835.1,73.0,-69.99991,-15.87305667
9114,GOBIERNO REGIONAL,7126,HOSPITAL DE VENTANILLA,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,CALLAO,CALLAO,VENTANILLA,70106,AV. PEDRO BELTRAN  CALLE 3 S/N (REF. AL COSTADO CO,8,3,0,CALLAO,VENTANILLA,NO PERTENECE A NINGUNA MICRORED,1452,HOSPITAL DE VENTANILLA,II-1,ACTUALIZAR,RESOLUCIÓN,541-2011-GRC/GRS/DIRESA/DG,24 HORAS,01/01/2008,DAVID PABLO GONZALEZ SAENZ ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-77.12572429,-11.87298251,58.228,82.0,-77.12572429,-11.87298251
9220,GOBIERNO REGIONAL,3299,CARLOS MONJE MEDRANO,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,PUNO,SAN ROMAN,JULIACA,211101,SALIDA A HUANACANE KILOMETRO 2,29,11,0,PUNO,SAN ROMAN,NO PERTENECE A NINGUNA MICRORED,917,SALUD SAN ROMAN,II-2,051-321901,RESOLUCIÓN,,24 HORAS,25/10/1986,JORGE DONATO CAHUANA QUISPE ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-70.11945789,-15.4826008,3877.0,188.0,-70.11945789,-15.4826008
9242,ESSALUD,9066,HOSPITAL HIGOS URCO,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,10101,JR. ORTIZ ARRIETA N° 612,1,0,0,AMAZONAS,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,0, ,II-1,041-579516,RESOLUCIÓN,462,08 :00 - 20:00,30/12/1999,JAVIER JAIME GUZMAN CORTEZ ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-77.87277833,-6.23006667,2356.2,18.0,-77.87277833,-6.23006667
9255,GOBIERNO REGIONAL,3443,DE APOYO DE NAZCA,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,ICA,NAZCA,NAZCA,110301,"CALLE CALLE CALLAO S/N, 5TA. CUADRA S/N CALLE CALLAO S/N, 5TA. CUADRA NAZCA NAZCA ICA ",15,1,8,ICA,ICA-PALPA-NAZCA,NASCA,1015,SALUD PALPA - NASCA,II-1,056-522010,RESOLUCIÓN,,24 HORAS,20/05/1973,ANA CAROLINA PARDO ALEJO ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-74.94265667,-14.82739,510.4,19.0,-74.94265667,-14.82739
9291,GOBIERNO REGIONAL,2990,JULI,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,PUNO,CHUCUITO,JULI,210401,AVENIDA PANAMERICANA S/N,29,6,0,PUNO,CHUCUITO,NO PERTENECE A NINGUNA MICRORED,920,SALUD CHUCUITO,II-1,051-554008,RESOLUCIÓN,,24 HORAS,03/09/1996,JOSE LUIS APAZA GORDILLO ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-69.45710214,-16.20870352,3881.611,29.0,-69.45710214,-16.20870352
9358,GOBIERNO REGIONAL,3335,HOSPITAL SANDIA,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,PUNO,SANDIA,SANDIA,211201,JIRON ARICA Nº 448,29,3,0,PUNO,SANDIA,NO PERTENECE A NINGUNA MICRORED,1007,SALUD SANDIA,II-1,051-816153,RESOLUCIÓN,,24 HORAS,19/06/1989,ROLANDO RENE DIAZ FLORES ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-69.46652328,-14.32221625,2238.0,30.0,-69.46652328,-14.32221625
9411,GOBIERNO REGIONAL,1633,HOSPITAL DE APOYO YUNGAY,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,ANCASH,YUNGAY,YUNGAY,22001,AVENIDA AV. REPUBLICA DE CUBA S/N - YUNGAY NÚMERO S/N DISTRITO YUNGAY PROVINCIA YUNGAY DEPARTAMENTO ANCASH ,2,2,0,ANCASH,HUAYLAS NORTE,NO PERTENECE A NINGUNA MICRORED,744,REGION ANCASH-SALUD CARAZ,II-1,995353153,RESOLUCIÓN,RD 029-2006-REGION-ANCASH-DIRES/DIPER,24 HORAS,01/04/2000,JULIAN FELIPE ESPINOZA BRAVO ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-77.74555107,-9.13836806,2498.5,18.0,-77.74555107,-9.13836806
9653,GOBIERNO REGIONAL,17077,HOSPITAL REGIONAL JOSE ALFREDO MENDOZA OLAVARRIA JAMO II-2,HOSPITALES O CLINICAS DE ATENCION ESPECIALIZADA,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,TUMBES,TUMBES,TUMBES,240101,AV. PROL. FERNANDO BELAUNDE NRO. S/N A.H. CIUDADELA NOE III ETAPA TUMBES,33,0,0,TUMBES,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,1436,HOSP.REGIONAL JOSE ALFREDO MENDOZA OLAVARRIA-JAMO II TUMBES,II-2,972-986447,RESOLUCIÓN,N 831-2013-GOBIERNO REGIONAL TUMBES-DRST-DR,24 HORAS,01/08/2013,MARIA EDITH SOLIS CASTRO ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-80.455544,-3.562082,,133.0,-80.455544,-3.562082
9673,GOBIERNO REGIONAL,5226,HOSPITAL DISTRITAL JERUSALEN,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,LA LIBERTAD,TRUJILLO,LA ESPERANZA,130105,AVENIDA AVENIDA LOS CEDROS CUADRA 4 C/S DISTRITO LA ESPERANZA PROVINCIA TRUJILLO DEPARTAMENTO LA LIBERTAD ,18,5,4,LA LIBERTAD,RED TRUJILLO,LA ESPERANZA,854,SALUD TRUJILLO ESTE,II-1,TEL: 044-507287,RESOLUCIÓN,RGR 1364-2011-GRLL-GGR/GRS,24 hrs,01/07/1984,HANNS CHAUCA FERNANDEZ ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-79.05401551,-8.06921193,109.0,18.0,-79.05401551,-8.06921193
9755,GOBIERNO REGIONAL,5577,HOSPITAL AMAZONICO - YARINACOCHA,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,UCAYALI,CORONEL PORTILLO,YARINACOCHA,250105,JIRÓN JIRON AGUAYTIA Nº 605 DISTRITO YARINACOCHA PROVINCIA CORONEL PORTILLO DEPARTAMENTO UCAYALI ,34,2,0,UCAYALI,FEDERICO BASADRE - YARINACOCHA,NO PERTENECE A NINGUNA MICRORED,952,HOSPITAL AMAZONICO,II-2,061-596408,RESOLUCIÓN,,07:00 - 19:00 ,28/05/1958,LUIS STALIN ROMERO JARA ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-74.5826166,-8.3928622,,25.0,-74.5826166,-8.3928622
9765,ESSALUD,9053,HOSPITAL II HUARAZ,HOSPITALES O CLINICAS DE ATENCION ESPECIALIZADA,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,ANCASH,HUARAZ,INDEPENDENCIA,20105,AV INDEPENDENCIA Nº 2161 BARRIO VICHAY,2,0,0,ANCASH,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,0, ,Sin Categoría,043-422940,RESOLUCIÓN,,00:00 A 24:00,06/09/1984,ADOLFO JAVIER REBAZA ROJAS ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-77.53767,-9.4932,3094.2,45.0,-77.53767,-9.4932
9786,GOBIERNO REGIONAL,3770,APOYO SIVIA,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,AYACUCHO,HUANTA,SIVIA,50407,PLAZA PRINCIPAL MZ.T LTE.6,5,4,0,AYACUCHO,SAN FRANCISCO,NO PERTENECE A NINGUNA MICRORED,1490,RED DE SALUD SAN FRANCISCO,II-1,NO TIENE,RESOLUCIÓN,,24 HORAS,31/12/1997,JOSE RAMIRO OLAVE AYME ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-73.862385,-12.50771167,559.7,14.0,-73.862385,-12.50771167
9822,ESSALUD,9037,HOSPITAL II CHOCOPE,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,LA LIBERTAD,ASCOPE,CHOCOPE,130203,PANAMERICANA NORTE KM N° 604 DISTRITO JESUS MARIA PROVINCIA LIMA DEPARTAMENTO LIMA ,18,0,0,LA LIBERTAD,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,0, ,II-2,044-542135,RESOLUCIÓN,,24  HORAS,01/05/1944,JAIME ALEJANDRO BAZAN CABELLOS ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-79.222181,-7.792812,,74.0,-79.222181,-7.792812
9946,GOBIERNO REGIONAL,5204,HOSPITAL DE ESPECIALIDADES BASICAS LA NORIA,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,LA LIBERTAD,TRUJILLO,TRUJILLO,130101,AVENIDA AVENIDA BLAS PASCAL Nº 124 URBANIZACION LA NORIA DISTRITO TRUJILLO PROVINCIA TRUJILLO DEPARTAMENTO LA LIBERTAD ,18,5,1,LA LIBERTAD,RED TRUJILLO,TRUJILLO - METROPOLITANO,854,SALUD TRUJILLO ESTE,II-1,TEL: 044-317622,RESOLUCIÓN,,24 HORAS,05/04/1988,OMAR ORLANDO PEREDA BALTODANO ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-79.01030684,-8.10346913,67.423,24.0,-79.01030684,-8.10346913
9977,ESSALUD,9188,HOSPITAL II RAMÓN CASTILLA,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,LIMA,LIMA,LIMA,150101,JIRÓN JIRÓN GUILLERMO DANSEY Nº 390 JIRÓN GUILLERMO DANSEY Nº 390 LIMA LIMA LIMA ,23,0,0,LIMA SUR,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,0, ,II-1,"01-4251225, 5402",RESOLUCIÓN,,24 HORAS,02/02/1982,GERMAN VICTOR ARAGONEZ ALMONACID ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-77.0440331,-12.0443408,,49.0,-77.0440331,-12.0443408
9998,ESSALUD,8502,HOSPITAL III EMERGENCIAS GRAU,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,LIMA,LIMA,LIMA,150101,AVENIDA GRAU N° 351,23,0,0,LIMA SUR,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,0, ,II-2,01-4282327,RESOLUCIÓN,,00:00 - 24:00,12/08/1961,GERMAN VICTOR ARAGONEZ ALMONACID ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-77.0312779,-12.0589571,,231.0,-77.0312779,-12.0589571
10050,GOBIERNO REGIONAL,4370,HOSPITAL PROVINCIAL DOCENTE BELEN-LAMBAYEQUE,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,LAMBAYEQUE,LAMBAYEQUE,LAMBAYEQUE,140301,AV. RAMON CASTILLA  Nº 597,19,0,0,LAMBAYEQUE,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,1002,HOSPITAL BELEN - LAMBAYEQUE,II-1,074-285080  /   074-282023,RESOLUCIÓN,,24 HORAS,01/12/1980,MOISES ALEJANDRO ROSARIO BORREGO ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-79.90252333,-6.70239167,16.9,,-79.90252333,-6.70239167
10158,MINSA,6206,NACIONAL  DOS DE MAYO,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,LIMA,LIMA,LIMA,150101,PARQUE HISTORIA DE LA MEDICINA PERUANA S/N ALTURA CUADRA 13 AV GRAU,23,0,0,LIMA SUR,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,144,HOSPITAL NACIONAL DOS DE MAYO,III-1,3280028 / 3280035,RESOLUCIÓN,,24 HORAS,28/02/1875,JOSE WILFREDO ROCA MENDOZA ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-77.0162686,-12.0571705,,594.0,-77.0162686,-12.0571705
10339,MINSA,5883,HOSPITAL DE BAJA COMPLEJIDAD HUAYCAN,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,LIMA,LIMA,ATE,150103,AV JOSÉ C.MARIÁTEGUI S/N ZONA B - A.H.HUAYCÁN,21,1,10,LIMA ESTE,LIMA ESTE METROPOLITANA,HUARUPAMPA,1528,HOSPITAL DE HUAYCAN,II-1,3716797,RESOLUCIÓN,,24 HORAS,18/09/1984,ODALIS JIMENEZ ROJAS ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-76.8201183,-12.0158889,,51.0,-76.8201183,-12.0158889
10681,GOBIERNO REGIONAL,2084,HOSPITAL DE LA AMISTAD PERU - COREA SANTA ROSA II-2,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,PIURA,PIURA,VEINTISEIS DE OCTUBRE,200115,AV. GRAU - CHULUCANAS S/N SAN MARTIN,28,1,1,PIURA,PIURA CASTILLA,PIURA,1306,HOSPITAL DE APOYO I SANTA ROSA,II-2,073-202968,RESOLUCIÓN,,24 HORAS,01/01/1900,CHRISTIAN YURI REQUENA PALACIOS ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-80.66560667,-5.18376667,4.0,102.0,-80.66560667,-5.18376667
10722,ESSALUD,10135,HOSPITAL I CARLOS ALCANTARA BUTTERFIELD,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,LIMA,LIMA,LA MOLINA,150114,AV. LOS CONSTRUCTORES 1201 - URB. COVIMA,21,0,0,LIMA ESTE,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,0, ,II-1,2656000,RESOLUCIÓN,465-2015-DISA IV LE-DESP DSS CETO,24 HORAS,20/08/2009,ANA MIRELLA VENTURELLI COTRINA ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-76.9455439,-12.062131,,50.0,-76.9455439,-12.062131
10748,GOBIERNO REGIONAL,5145,SANTA MARIA DE NIEVA,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,AMAZONAS,CONDORCANQUI,NIEVA,10401,CALLE PRINCIPAL S/N - URBANIZACIÓN JUAN VELAZCO  -  CIUDAD SANTA MARIA DE NIEVA,1,4,0,AMAZONAS,CONDORCANQUI,NO PERTENECE A NINGUNA MICRORED,1664,GOB.REG.DPTO. DE AMAZONAS - SALUD CONDORCANQUI,II-1, ,RESOLUCIÓN,,24 HORAS,29/11/2006,ALKER PERCY CHANCA YANGALI ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-77.86555388,-4.6000761,201.0,12.0,-77.86555388,-4.6000761
11033,ESSALUD,8741,HOSPITAL I ULDARICO ROCCA FERNANDEZ,HOSPITALES O CLINICAS DE ATENCION ESPECIALIZADA,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,LIMA,LIMA,VILLA EL SALVADOR,150142,AV.SEPARADORA INDUSTRIAL Y AV. CESAR VALLEJO,23,0,0,LIMA SUR,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,0, ,II-1,2875266,RESOLUCIÓN,,24 HORAS,07/03/2000,CARMEN FLOR BEDOYA RIVADENEIRA ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-76.9319845,-12.2107672,,54.0,-76.9319845,-12.2107672
